pref,group_name,meeting_name,facility_name,address_raw,schedule_raw,audience,official_site,source_url,collector_script,source_type,start_time,end_time
宮城県,宮城県断酒会,若林支部・荒町例会所,荒町市民センター,,日,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),10:30,12:00
宮城県,宮城県断酒会,北支部・栗原例会所,栗原市若柳公民館,,日 第1・3,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),14:00,16:00
宮城県,宮城県断酒会,北支部・花泉例会所,一関市花泉町涌津公民館,,日 第2・4,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),18:00,20:00
宮城県,宮城県断酒会,北支部・花泉例会所(家族会),一関市花泉町涌津公民館,,"日 家族会第5(3,6,8,11月)",家族会,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),18:00,20:00
宮城県,宮城県断酒会,奥州登米支部・奥州登米例会所,佐藤和男氏・自宅,,日 第2,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),13:00,16:00
宮城県,宮城県断酒会,本吉例会,気仙沼市本吉保健福祉センター,,月 第3,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),13:30,15:00
宮城県,宮城県断酒会,名取例会,名取市増田公民館4階研修室,,月 第2,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),14:00,15:30
宮城県,宮城県断酒会,アメシスト例会,東北会病院4階小会議室,,火 第2・4,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),15:30,17:00
宮城県,宮城県断酒会,院内プログラム例会,東北会病院4階大会議室,,火,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),11:30,12:30
宮城県,宮城県断酒会,北支部・古川例会所,宮城県精神保健福祉センター,,火 第1・3,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),13:30,15:00
宮城県,宮城県断酒会,青葉支部・支倉例会所,支倉集会所,,水,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),18:30,20:00
宮城県,宮城県断酒会,南支部・仙南例会所,柴田町・槻木生涯学習センター,,水 第2・4,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),19:00,20:30
宮城県,宮城県断酒会,太白支部・長町例会所,太白区中央市民センター,,水,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),13:30,15:00
宮城県,宮城県断酒会,院内メッセージ,東北会病院,,木 第3,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),13:30,14:30
宮城県,宮城県断酒会,泉支部・いずみの杜例会所,いずみの杜診療所,,木 第2・4,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),10:00,11:00
宮城県,宮城県断酒会,院内例会,東北会病院1階集団療法室,,木,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),18:30,20:00
宮城県,宮城県断酒会,仙塩支部・塩釜例会所,塩竈市公民館生涯学習センター,,木,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),19:00,20:30
宮城県,宮城県断酒会,石巻昼例会,石巻市保健相談センター,,木 第2,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),13:30,15:00
宮城県,宮城県断酒会,宮城野支部・宮千代例会所,宮千代・加藤内科医院,,木,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),18:30,20:00
宮城県,宮城県断酒会,青葉支部・柏木例会所,柏木市民センター,,金,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),18:30,20:00
宮城県,宮城県断酒会,東支部・石巻例会所,石巻市保健相談センター石巻医師会館,,土 第1・3,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),18:30,20:00
宮城県,宮城県断酒会,宮城野支部・仙台中央例会所,榴ヶ岡市民センター,,土,通常,,,manual_image_transcription_2026-07-12,PDF一次資料(2026-06-02現在),18:30,20:00
